Maximum Number of Users in a Cell,IRAT/Session Continuity to 2G,Secondary_Cell_Performance,Carrier Number DL (earfcn),Inter Frequency Handover Success Rate (%),Traffic_Volume_and_Payload_Metrics
0.11294416243654824,0.12006079027355623,0.2017459747966394,0.0,0.9875403784,0.31029422066669327
0.10025380710659901,0.22416413373860183,0.20080422070712844,0.0,0.9928571429,0.2656441078050312
0.0901015228426396,0.02811550151975684,0.134880948580613,0.0,0.9974958264,0.27638415023686824
0.1319796954314721,0.3533434650455927,0.21889575560086177,1.0,0.9852050892,0.3847304785527869
0.12055837563451778,0.46580547112462006,0.3326884101708914,1.0,0.979498394,0.31655137353853663
0.12055837563451778,0.09346504559270517,0.24472260152351294,1.0,0.9946312964,0.337427682223834
0.0901015228426396,0.07674772036474165,0.04113373290761375,0.0,0.9980119284,0.20009137841418548
0.06725888324873097,0.050911854103343465,0.10423541971176892,0.0,0.9916149068,0.15521032060796905
0.06598984771573604,0.17553191489361702,0.07086743910848176,0.0,0.9974019226,0.19257016065672103
0.025380710659898484,0.03723404255319149,0.019309845720976986,0.0,1.0,0.0644838731518612
0.13451776649746194,0.25,0.31428306921523064,1.0,0.9937176886000001,0.35208502095629984
0.09263959390862944,0.10638297872340426,0.2621529459170884,1.0,0.9812680115000001,0.26433281472364284
0.10279187817258885,0.3123100303951368,0.22471060904060652,1.0,0.9889476539000001,0.29364118345193024
0.045685279187817264,0.03951367781155015,0.15195840811240136,0.0,0.9884169884000001,0.14461973057478117
0.07233502538071067,0.1398176291793313,0.2806738257588422,0.0,0.9865236524,0.19897729492213406
0.059644670050761434,0.06838905775075987,0.10109784495324502,0.0,0.9780938834,0.15149854124288642
0.08883248730964467,0.1884498480243161,0.22401922319455553,1.0,0.9842368886,0.26784103597824355
0.12055837563451778,0.10638297872340426,0.0916431746995584,1.0,0.9901262916000001,0.36974361911543446
0.09137055837563453,0.20364741641337386,0.19556573607777716,1.0,0.9858244500000001,0.25297771399253827
0.03426395939086295,0.04711246200607903,0.0,1.0,0.9986091793999999,0.10597530998093434
0.14974619289340102,0.14893617021276595,0.0,1.0,0.9944566840000001,0.34308179671758027
0.22969543147208127,0.28951367781155013,0.0,1.0,0.9958726415,0.5576308683981478
0.029187817258883253,0.1717325227963526,0.0,0.0,0.9981610135,0.085869571428951
0.08121827411167513,0.15881458966565348,0.0,0.0,0.9909805063,0.1925179574529629
0.0901015228426396,0.29331306990881456,0.0,0.0,0.9833818927,0.22552168050316843
0.12563451776649748,0.4452887537993921,0.029602613772482352,1.0,0.9985052317,0.39288273522550976
0.16751269035532995,0.44072948328267475,0.1080996382112901,1.0,0.9961634942,0.47413833763073054
0.10279187817258885,0.21504559270516718,0.0790014498684619,1.0,0.9970399605,0.27870147235551496
0.058375634517766506,0.38069908814589665,0.02970955712209058,0.0,0.9990985190000001,0.17766465883655985
0.09390862944162438,0.5288753799392097,0.0627937770523217,0.0,0.9961795606,0.2569110297742088
0.07741116751269037,0.19984802431610943,0.032356550483205314,0.0,0.9974971121,0.18674092912865145
0.17258883248730966,0.1838905775075988,0.10536241271106736,0.0,0.9949801849000001,0.36675723099676016
0.09644670050761424,0.13905775075987842,0.09094528671704574,0.0,0.9957824639,0.17501622043738957
0.13324873096446702,0.28343465045592703,0.1532763863745595,0.0,0.9931906615,0.40752835933671105
0.22461928934010156,0.310790273556231,0.38302808261940896,1.0,0.9904753733,0.477769464055921
0.1434010152284264,0.24240121580547114,0.05797822520874227,1.0,0.9864734300000001,0.2586773418877736
0.17131979695431473,0.6337386018237082,0.6265623167337748,1.0,0.9956385029000001,0.5368989900481062
0.062182741116751275,0.22112462006079028,0.10151675289255398,0.0,0.9961468722,0.1596334800560853
0.043147208121827416,0.08890577507598785,0.0791119442003444,0.0,0.9997218359000001,0.12211630821495441
0.10152284263959394,0.22872340425531915,0.12166280695287607,0.0,0.9954597049,0.2688236771507635
0.12563451776649748,0.22796352583586627,0.14277566392361685,1.0,0.9788056077,0.39691842582079334
0.0634517766497462,0.10030395136778116,0.05896954909135222,1.0,0.9961592885,0.19496224845276122
0.1700507614213198,0.3495440729483283,0.1643028581436446,1.0,0.9943299433,0.480375259482429
0.1319796954314721,0.34194528875379937,0.0,1.0,0.9605982811,0.42735210275702623
0.10786802030456855,0.5,0.0,1.0,0.9905347847,0.3504706534948369
0.08756345177664976,0.32750759878419455,0.0,1.0,0.9948591013,0.25084527781991495
0.062182741116751275,0.12917933130699089,0.0,0.0,0.9428530913000001,0.16100420880408164
0.06598984771573604,0.31990881458966564,0.0,0.0,0.9829059829000001,0.20921487162462443
0.05076142131979697,0.20972644376899696,0.0,0.0,0.9959067229,0.13609118162837208
0.062182741116751275,0.18085106382978725,0.0466656954250284,0.0,0.9956634866,0.1922197939844837
0.0685279187817259,0.31155015197568386,0.08317268437596712,0.0,0.996978852,0.223247929997511
0.13451776649746194,0.2826747720364742,0.08750831976552192,0.0,0.9899716590000001,0.35921708214310166
0.09644670050761424,0.34422492401215804,0.10642159514514501,1.0,0.9978496826000001,0.295903231454906
0.11421319796954317,0.5045592705167173,0.21084696841546424,1.0,0.9976944546000001,0.3614921015769792
0.18527918781725888,0.48632218844984804,0.28370554285659516,1.0,0.9907773386,0.5453073629177907
0.0901015228426396,0.12689969604863222,0.117199396184256,0.0,0.9875357581,0.2781380627759425
0.0799492385786802,0.06610942249240122,0.13961186468113493,0.0,0.9935030729000001,0.19620436814583056
0.13324873096446702,0.2629179331306991,0.15229852263421895,1.0,0.9868682849,0.2866332333448498
0.17131979695431473,0.36854103343465044,0.39532878118999587,1.0,0.9708595388000001,0.547488327314962
0.07106598984771574,0.047872340425531915,0.06690082995453171,1.0,0.988173456,0.21729692461089678
0.14593908629441626,0.12462006079027356,0.2258672275491155,0.0,0.9991330733,0.31904236093117605
0.12817258883248733,0.20364741641337386,0.15376158131574857,0.0,0.9934065934,0.28601008234477193
0.14593908629441626,0.0425531914893617,0.14874244182120427,0.0,0.9964490576,0.2760641725012394
0.15482233502538073,0.2826747720364742,0.33651499545624225,1.0,0.9806205851,0.4003755130523909
0.15101522842639595,0.4506079027355623,0.28368135778813247,1.0,0.9832205496,0.34376413077938195
0.1637055837563452,0.06231003039513678,0.2606155505407528,1.0,0.9920826919,0.3218839024170483
0.0850253807106599,0.06610942249240122,0.07391218447228151,0.0,0.9979025868,0.19045812409701965
0.07868020304568529,0.05851063829787234,0.11002563221370502,0.0,0.9958971554,0.17911113167624715
0.10025380710659901,0.16717325227963525,0.12831989100595811,0.0,0.9938139424000001,0.19827164890615556
0.0368020304568528,0.044832826747720364,0.0567681380245696,0.0,1.0,0.07393729155806644
0.14086294416243655,0.22948328267477203,0.23669179118587896,1.0,0.9960128815,0.3840909172908823
